Node,Edge,Weight
Archangel,Sunspot,20
Archangel,Super-Adaptoid,3
Archangel,Synch,1
Archangel,Talisman,1
Archangel,Tarot,1
Archangel,Tempest,1
Archangel,Terrax,1
Archangel,Thanos,1
Archangel,The Professor,1
Archangel,The Watchers,1
Archangel,Thing,6
Archangel,Thor,10
Archangel,Thunderbird,5
Archangel,Toad,7
Archangel,Toro,8
Archangel,Trevor Fitzroy,3
Archangel,Triton,1
Archangel,Tusk,4
Archangel,Tyrannus,1
Archangel,Uatu The Watcher,2
Archangel,Vanisher,9
Archangel,Vertigo,7
Archangel,Vindicator,2
Archangel,Viper,2
Archangel,Vision,40
Archangel,War,8
Archangel,Warpath,18
Archangel,Warren Worthington III,1
Archangel,Warstar,1
Archangel,Wasp,2
Archangel,Wendigo,2
Archangel,Wildside,2
Archangel,William Stryker,2
Archangel,Winter Soldier,6
Archangel,Wolfsbane,15
Archangel,Wolverine,172
Archangel,X-23,11
Archangel,X-Cutioner,1
Archangel,X-Factor,35
Archangel,X-Force,25
Archangel,X-Man,4
Archangel,Xorn,12
Archangel,Zaladane,4
Arclight,Avalanche,1
Arclight,Banshee,1
Arclight,Beast,4
Arclight,Blob,1
Arclight,Blockbuster,3
Arclight,Boom Boom,1
Arclight,Caliban,2
Arclight,Callisto,4
Arclight,Cannonball,1
Arclight,Colossus,7
Arclight,Cyclops,2
Arclight,Dazzler,6
Arclight,Destiny,1
Arclight,Domino,1
Arclight,Gambit,1
Arclight,Goblin Queen,1
Arclight,Harpoon,10
Arclight,Havok,5
Arclight,Iceman,4
Arclight,Impossible Man,1
Arclight,Joseph,1
Arclight,Kingpin,1
Arclight,Lockheed,1
Arclight,Longshot,6
Arclight,Madelyne Pryor,1
Arclight,Maggott,1
Arclight,Magma,1
Arclight,Magneto,2
Arclight,Marauders,4
Arclight,Masque,1
Arclight,Meltdown,1
Arclight,Mister Sinister,2
Arclight,Mystique,1
Arclight,New Mutants,1
Arclight,Nightcrawler,6
Arclight,Onslaught,2
Arclight,Polaris,1
Arclight,Prism,1
Arclight,Psylocke,7
Arclight,Pyro,1
Arclight,Riptide,5
Arclight,Rogue,10
Arclight,Sabretooth,4
Arclight,Scalphunter,3
Arclight,Scrambler,1
Arclight,Selene,1
Arclight,Sentinels,1
Arclight,Storm,7
Arclight,Sunspot,1
Arclight,Thor,1
Arclight,Vertigo,9
Arclight,Wolverine,9
Arclight,X-Factor,1
Arclight,X-Force,2
Arclight,X-Man,2
Ares,Arnim Zola,2
Ares,Attuma,1
Ares,Balder,1
Ares,Beast,1
Ares,Ben Urich,2
Ares,Betty Brant,1
Ares,Black Cat,1
Ares,Black Knight,6
Ares,Black Panther,3
Ares,Black Widow,20
Ares,Blue Marvel,1
Ares,Bruce Banner,1
Ares,Bucky,5
Ares,Bullseye,2
Ares,Captain America,17
Ares,Captain Marvel,22
Ares,Carlie Cooper,1
Ares,Chameleon,1
Ares,Cloak,1
Ares,Colossus,1
Ares,Crossbones,1
Ares,Cyclops,2
Ares,Dagger,1
Ares,Daken,1
Ares,Damage Control,1
Ares,Dark Avengers,5
Ares,Dark X-Men,1
Ares,Darkstar,1
Ares,Diablo,1
Ares,Doctor Doom,3
Ares,Doctor Strange,5
Ares,Doctor Voodoo,1
Ares,Domino,1
Ares,Dragon Man,1
Ares,Echo,2
Ares,Edwin Jarvis,7
Ares,Elektra,1
Ares,Emma Frost,1
Ares,Falcon,3
Ares,Firebird,2
Ares,Firestar,2
Ares,Gambit,1
Ares,Ghost Rider,1
Ares,Gilgamesh,1
Ares,Goliath,1
Ares,H.A.M.M.E.R.,3
Ares,Hank Pym,10
Ares,Harry Osborn,1
Ares,Hawkeye,8
Ares,Hercules,19
Ares,Hulk,3
Ares,Human Torch,2
Ares,Iceman,2
Ares,Ikaris,1
Ares,Invaders,3
Ares,Iron Fist,3
Ares,Iron Man,22
Ares,J. Jonah Jameson,3
Ares,Jessica Jones,1
Ares,Jocasta,1
Ares,Justice,2
Ares,Kang,2
Ares,Kat Farrell,2
Ares,Layla Miller,1
Ares,Living Lightning,2
Ares,Loki,1
Ares,Luke Cage,3
Ares,Maestro,1
Ares,Magneto,1
Ares,Makkari,1
Ares,Maria Hill,5
Ares,Marvel Boy,1
Ares,Mary Jane Watson,1
Ares,May Parker,1
Ares,Menace,1
Ares,Micromax,1
Ares,Mimic,1
Ares,Mole Man,2
Ares,Moonstone,1
Ares,Morgan Le Fay,2
Ares,Mr. Fantastic,4
Ares,Namor,3
Ares,Namora,1
Ares,Nick Fury,7
Ares,Nightcrawler,1
Ares,Norman Osborn,7
Ares,Odin,1
Ares,Photon,4
Ares,Pixie,1
Ares,Professor X,1
Ares,Punisher,1
Ares,Quake,1
Ares,Quicksilver,5
Ares,Red Guardian,1
Ares,Red Skull,2
Ares,Rick Jones,2
Ares,Rogue,1
Ares,Romulus,1
Ares,Ronin,1
Ares,S.H.I.E.L.D.,3
Ares,Scarlet Spider,1
Ares,Scarlet Witch,4
Ares,Secret Warriors,2
Ares,Sentry,19
Ares,Shang-Chi,1
Ares,Sharon Carter,3
Ares,She-Hulk,4
Ares,Silver Samurai,1
Ares,Sin,1
Ares,Skaar,1
Ares,Spider-Man,7
Ares,Spider-Woman,11
Ares,Sub-Mariner,5
Ares,Thena,1
Ares,Thing,1
Ares,Thor,9
Ares,Thunderbolts,1
Ares,Tigra,2
Ares,Toad,1
Ares,Toro,1
Ares,Toxin,1
Ares,U.S. Agent,1
Ares,Ultron,7
Ares,Venom,2
Ares,Vin Gonzales,1
Ares,Vision,5
Ares,Wasp,22
Ares,Winter Soldier,1
Ares,Wolverine,9
Ares,Wonder Man,20
Ares,Zeus,7
Armadillo,Microbe,1
Armadillo,Namorita,1
Armadillo,New Warriors,1
Armadillo,Night Thrasher,1
Armadillo,Nova,1
Armadillo,Speedball,1
Armadillo,Tiger Shark,1
Armor,Avalanche,4
Armor,Banshee,1
Armor,Beast,10
Armor,Bling!,4
Armor,Blink,2
Armor,Boom Boom,1
Armor,Cable,4
Armor,Cannonball,1
Armor,Chimera,1
Armor,Colossus,7
Armor,Cyclops,12
Armor,Dazzler,1
Armor,Doop,2
Armor,Dust,1
Armor,Emma Frost,12
Armor,Firestar,2
Armor,Forge,1
Armor,Gideon,2
Armor,Hydra,4
Armor,Iceman,2
Armor,Ink,1
Armor,Kitty Pryde,6
Armor,Lady Deathstrike,1
Armor,Longshot,2
Armor,Madelyne Pryor,1
Armor,Magik,1
Armor,Magma,1
Armor,Magneto,1
Armor,Marrow,1
Armor,Mentallo,1
Armor,Mercury,1
Armor,Micromax,3
Armor,Namor,1
Armor,Nightcrawler,3
Armor,Northstar,1
Armor,Old Man Logan,2
Armor,Penance,4
Armor,Phoenix Force,1
Armor,Pixie,1
Armor,Professor X,2
Armor,Psylocke,2
Armor,Pyro,1
Armor,Rachel Grey,2
Armor,Rockslide,2
Armor,Rogue,2
Armor,Scalphunter,1
Armor,Selene,2
Armor,Shatterstar,2
Armor,Silver Samurai,2
Armor,Spiral,1
Armor,Stepford Cuckoos,1
Armor,Storm,13
Armor,Strong Guy,1
Armor,Sunspot,1
Armor,Surge,4
Armor,Wolverine,16
Armor,X-23,3
Armory,Gauntlet,1
Armory,Hardball,1
Armory,MVP,1
Armory,Spider-Man,1
Armory,The Liberteens,1
Arnim Zola,Bastion,1
Arnim Zola,Black Widow,6
Arnim Zola,Bucky,6
Arnim Zola,Cable,1
Arnim Zola,Captain America,17
Arnim Zola,Celestials,1
Arnim Zola,Crossbones,4
Arnim Zola,Doctor Doom,2
Arnim Zola,Dragon Man,1
Arnim Zola,Falcon,6
Arnim Zola,Firestar,1
Arnim Zola,H.A.M.M.E.R.,3
Arnim Zola,Iron Man,1
Arnim Zola,Justice,1
Arnim Zola,M.O.D.O.K.,3
Arnim Zola,Machine Man,1
Arnim Zola,Mr. Fantastic,1
Arnim Zola,Nick Fury,2
Arnim Zola,Norman Osborn,5
Arnim Zola,Red Skull,8
Arnim Zola,Sharon Carter,6
Arnim Zola,Sin,4
Arnim Zola,Spider-Man,2
Arnim Zola,Ultron,1
Arnim Zola,Vision,7
Atlas,Balder,1
Atlas,Beast,2
Atlas,Bedlam,1
Atlas,Black Knight,1
Atlas,Black Panther,1
Atlas,Black Widow,4
Atlas,Bulldozer,1
Atlas,Captain America,4
Atlas,Captain Marvel,5
Atlas,Count Nefaria,2
Atlas,Daredevil,1
Atlas,Doomsday Man,1
Atlas,Edwin Jarvis,4
Atlas,Falcon,1
Atlas,Firebird,3
Atlas,Firestar,3
Atlas,Foggy Nelson,1
Atlas,Ghost Rider,1
Atlas,Grim Reaper,4
Atlas,Hank Pym,4
Atlas,Hellcat,2
Atlas,Hercules,3
Atlas,Human Torch,1
Atlas,Invisible Woman,1
Atlas,Iron Man,5
Atlas,Jane Foster,2
Atlas,Jasper Sitwell,3
Atlas,Justice,2
Atlas,Loki,1
Atlas,Masque,3
Atlas,Moonstone,2
Atlas,Night Thrasher,1
Atlas,Odin,2
Atlas,Scarlet Witch,4
Atlas,Sharon Carter,1
Atlas,She-Hulk,2
Atlas,Songbird,3
Atlas,Thor,2
Atlas,Triathlon,3
Atlas,Vision,4
Atlas,Wasp,3
Atlas,Wonder Man,4
Attuma,Aurora,3
Attuma,Beast,4
Attuma,Ben Grimm,1
Attuma,Bishop,1
Attuma,Black Knight,5
Attuma,Black Panther,2
Attuma,Black Widow,5
Attuma,Bruce Banner,2
Attuma,Captain America,20
Attuma,Captain Marvel,5
Attuma,Charles Xavier,2
Attuma,Colossus,1
Attuma,Cyclops,2
Attuma,Daredevil,4
Attuma,Darkstar,3
Attuma,Defenders,1
Attuma,Diablo,2
Attuma,Doc Samson,1
Attuma,Doctor Doom,4
Attuma,Doctor Strange,6
Attuma,Dragon Man,1
Attuma,Dreadnoughts,2
Attuma,Edwin Jarvis,3
Attuma,Ego,1
Attuma,Firebird,4
Attuma,Firestar,4
Attuma,Foggy Nelson,2
Attuma,Frightful Four,1
Attuma,Galactus,1
Attuma,Gambit,1
Attuma,Giant Man,1
Attuma,Gideon,1
Attuma,Grey Gargoyle,4
Attuma,Hank Pym,5
Attuma,Hawkeye,9
Attuma,Hecate,1
Attuma,Hercules,1
Attuma,Hulk,12
Attuma,Human Torch,5
Attuma,Iceman,1
Attuma,Invaders,1
Attuma,Invisible Woman,2
Attuma,Iron Man,10
Attuma,Jane Foster,1
Attuma,Juggernaut,2
Attuma,Justice,3
Attuma,Kang,4
Attuma,Living Lightning,1
Attuma,Loa,4
Attuma,Loki,4
Attuma,Maria Hill,2
Attuma,Masters of Evil,1
Attuma,Micromax,1
Attuma,Mr. Fantastic,2
Attuma,Namor,17
Attuma,Namora,2
Attuma,Namorita,1
Attuma,Photon,1
Attuma,Quicksilver,5
Attuma,Red Skull,1
Attuma,S.H.I.E.L.D.,2
Attuma,Sasquatch,4
Attuma,Scarlet Witch,8
Attuma,Sentinels,1
Attuma,Shaman,3
Attuma,She-Hulk,5
Attuma,Silver Surfer,4
Attuma,Sin,2
Attuma,Snowbird,1
Attuma,Spitfire,2
Attuma,Stingray,1
Attuma,Sub-Mariner,17
Attuma,Sue Storm,1
Attuma,Swordsman,1
Attuma,Thing,3
Attuma,Thor,9
Attuma,Tiger Shark,3
Attuma,Titania,2
Attuma,Triathlon,3
Attuma,Triton,1
Attuma,U.S. Agent,1
Attuma,Union Jack,2
Attuma,Vindicator,4
Attuma,Vision,5
Attuma,Warbird,1
Attuma,Wasp,5
Attuma,Winter Soldier,2
Attuma,Wonder Man,3
Attuma,Yellowjacket,2
Aurora,Avalanche,1
Aurora,Banshee,11
Aurora,Beast,6
Aurora,Bishop,9
Aurora,Black Knight,2
Aurora,Black Panther,2
Aurora,Black Tom,1
Aurora,Blink,1
Aurora,Blob,4
Aurora,Box,3
Aurora,Brotherhood of Evil Mutants,1
Aurora,Bullseye,1
Aurora,Cable,5
Aurora,Cannonball,1
Aurora,Captain America,4
Aurora,Captain Britain,1
Aurora,Captain Marvel,1
Aurora,Cassandra Nova,6
Aurora,Centennial,1
Aurora,Ch'od,2
Aurora,Chamber,1
Aurora,Chimera,1
Aurora,Colossus,10
Aurora,Corsair,2
Aurora,Count Nefaria,2
Aurora,Crystal,1
Aurora,Cyclops,9
Aurora,D'Ken Neramani,1
Aurora,Daken,12
Aurora,Daredevil,2
Aurora,Dazzler,3
Aurora,Doctor Doom,1
Aurora,Doctor Strange,2
Aurora,Domino,8
Aurora,Earthquake,1
Aurora,Emma Frost,6
Aurora,Empath,1
Aurora,Erik the Red,1
Aurora,Firelord,2
Aurora,Firestar,1
Aurora,Forge,4
Aurora,Frenzy,1
Aurora,Galactus,1
Aurora,Gambit,2
Aurora,Garrison Kane,6
Aurora,Gladiator,2
Aurora,Guardian,11
Aurora,Hank Pym,1
Aurora,Havok,5
Aurora,Hercules,1
Aurora,Holocaust,1
Aurora,Hulk,3
Aurora,Human Torch,1
Aurora,Iceman,2
Aurora,Invisible Woman,3
Aurora,Iron Man,7
Aurora,Jean Grey,1
Aurora,Jubilee,1
Aurora,Kang,1
Aurora,Karma,1
Aurora,Kitty Pryde,6
Aurora,Lady Deathstrike,3
Aurora,Legion,1
Aurora,Loki,1
Aurora,Longshot,1
Aurora,Machine Man,3
Aurora,Madelyne Pryor,1
Aurora,Magma,1
Aurora,Magneto,3
Aurora,Malcolm Colcord,8
Aurora,Marauders,7
Aurora,Marrow,5
Aurora,Mauler,1
Aurora,Maverick,4
Aurora,Meltdown,3
Aurora,Mesmero,11
Aurora,Mimic,1
Aurora,Mister Sinister,1
Aurora,Mr. Fantastic,1
Aurora,Mystique,2
Aurora,Namor,2
Aurora,Nemesis,1
Aurora,Nightcrawler,5
Aurora,Northstar,45
Aurora,Omega Flight,1
Aurora,Omega Red,2
Aurora,Polaris,7
Aurora,Prodigy,4
Aurora,Professor X,2
Aurora,Psylocke,7
Aurora,Puck,32
Aurora,Quicksilver,1
Aurora,Reaper,2
Aurora,Red Hulk,3
Aurora,Rogue,2
Aurora,Sabretooth,13
Aurora,Sasquatch,35
Aurora,Sauron,8
Aurora,Scarlet Witch,1
Aurora,Shaman,29
Aurora,Shard,1
Aurora,She-Hulk,9
Aurora,Shi'Ar,4
Aurora,Snowbird,28
Aurora,Spider-Man,4
Aurora,Spiral,1
Aurora,Stepford Cuckoos,1
Aurora,Stingray,1
Aurora,Storm,6
Aurora,Sunfire,3
Aurora,Talisman,8
Aurora,Thaddeus Ross,1
Aurora,Thanos,1
Aurora,Thing,1
Aurora,Thor,3
Aurora,Titanium Man,1
Aurora,Toad,1
Aurora,Vermin,1
Aurora,Vindicator,14
Aurora,Vision,1
Aurora,Weapon X,4
Aurora,Wendigo,2
Aurora,Wild Child,14
Aurora,Wildside,2
Aurora,Wolverine,25
Aurora,Wonder Man,1
Aurora,X-Factor,8
Aurora,X-Man,1
Avalanche,Banshee,8
Avalanche,Beast,12
Avalanche,Bishop,1
Avalanche,Black Knight,1
Avalanche,Bling!,4
Avalanche,Blob,26
Avalanche,Blockbuster,1
Avalanche,Boom Boom,3
Avalanche,Brotherhood of Evil Mutants,1
Avalanche,Cable,2
Avalanche,Caliban,2
Avalanche,Cannonball,5
Avalanche,Captain America,1
Avalanche,Captain Britain,4
Avalanche,Cecilia Reyes,2
Avalanche,Ch'od,1
Avalanche,Chamber,7
Avalanche,Charles Xavier,2
Avalanche,Cloak,1
Avalanche,Colossus,17
Avalanche,Cyclops,11
Avalanche,Dagger,1
Avalanche,Daken,1
Avalanche,Daredevil,1
Avalanche,Dark Avengers,1
Avalanche,Dark Beast,1
Avalanche,Dark Phoenix,1
Avalanche,Dark X-Men,1
Avalanche,Dazzler,4
Avalanche,Destiny,15
Avalanche,Domino,2
Avalanche,Emma Frost,3
Avalanche,Excalibur,1
Avalanche,Exodus,2
Avalanche,Feral,1
Avalanche,Firestar,4
Avalanche,Forge,5
Avalanche,Franklin Richards,1
Avalanche,Frenzy,1
Avalanche,Gambit,6
Avalanche,Garrison Kane,1
Avalanche,Gideon,1
Avalanche,H.A.M.M.E.R.,1
Avalanche,Havok,9
Avalanche,Hawkeye,1
Avalanche,Hellfire Club,1
Avalanche,Hellion,1
Avalanche,Hepzibah,1
Avalanche,Hercules,1
Avalanche,High Evolutionary,1
Avalanche,Husk,5
Avalanche,Hydra,6
Avalanche,Iceman,12
Avalanche,Inhumans,1
Avalanche,Iron Man,1
Avalanche,Jean Grey,2
Avalanche,Jubilee,7
Avalanche,Juggernaut,2
Avalanche,Julian Keller,2
Avalanche,Karma,2
Avalanche,Kitty Pryde,3
Avalanche,Lady Deathstrike,1
Avalanche,Leech,1
Avalanche,Legion,5
Avalanche,Lilandra,2
Avalanche,Longshot,2
Avalanche,M,1
Avalanche,Madelyne Pryor,1
Avalanche,Magma,3
Avalanche,Magneto,6
Avalanche,Marauders,1
Avalanche,Maria Hill,1
Avalanche,Marvel Boy,1
Avalanche,Masque,1
Avalanche,Mastermind,5
Avalanche,Meltdown,1
Avalanche,Mercury,1
Avalanche,Mesmero,2
Avalanche,Micromax,3
Avalanche,Mimic,1
Avalanche,Mister Sinister,1
Avalanche,Multiple Man,1
Avalanche,Mystique,13
Avalanche,Namor,2
Avalanche,Namorita,1
Avalanche,New Mutants,2
Avalanche,Nick Fury,2
Avalanche,Night Thrasher,1
Avalanche,Nightcrawler,20
Avalanche,Nightmare,1
Avalanche,Nocturne,2
Avalanche,Norman Osborn,1
Avalanche,Northstar,1
Avalanche,Nova,1
Avalanche,Penance,5
Avalanche,Polaris,6
Avalanche,Professor X,2
Avalanche,Proteus,1
Avalanche,Psylocke,4
Avalanche,Purifiers,1
Avalanche,Pyro,19
Avalanche,Quicksilver,1
Avalanche,Raza,1
Avalanche,Reavers,1
Avalanche,Red Skull,1
Avalanche,Rockslide,2
Avalanche,Rogue,13
Avalanche,Sabretooth,4
Avalanche,Sauron,1
Avalanche,Scarlet Witch,1
Avalanche,Sentinel,1
Avalanche,Shadow King,2
Avalanche,Shatterstar,1
Avalanche,Spiral,6
Avalanche,Stacy X,6
Avalanche,Storm,11
Avalanche,Sunspot,3
Avalanche,Surge,7
Avalanche,Tag,1
Avalanche,Thor,2
Avalanche,Tigra,1
Avalanche,Toad,2
Avalanche,Uatu The Watcher,1
Avalanche,Vertigo,1
Avalanche,Warpath,1
Avalanche,Wasp,1
Avalanche,Wild Child,1
Avalanche,Wolfsbane,2
Avalanche,Wolverine,12
Avalanche,Wonder Man,1
Avalanche,X-Factor,2
Azazel,Ben Reilly,1
Azazel,Dark X-Men,3
Azazel,Deadpool,1
Azazel,Domino,1
Azazel,Emma Frost,1
Azazel,Emplate,3
Azazel,Firestar,1
Azazel,Gambit,3
Azazel,Goblin Queen,2
Azazel,Havok,3
Azazel,Hellfire Club,1
Azazel,Madelyne Pryor,3
Azazel,Maggott,3
Azazel,Mystique,2
Azazel,Nightcrawler,2
Azazel,Omega Red,1
Azazel,Riptide,1
Azazel,Sabretooth,1
Azazel,Sebastian Shaw,1
Balder,Baron Zemo,3
Balder,Beta-Ray Bill,4
Balder,Bloodaxe,3
Balder,Boom Boom,1
Balder,Captain America,5
Balder,Captain Britain,5
Balder,Captain Marvel,2
Balder,Daken,1
Balder,Daredevil,1
Balder,Dargo Ktor,1
Balder,Doctor Doom,6
Balder,Doctor Strange,1
Balder,Donald Blake,5
Balder,Ego,1
Balder,Enchantress,3
Balder,Executioner,1
Balder,Falcon,1
Balder,Firelord,1
Balder,Galactus,2
Balder,Grey Gargoyle,3
Balder,Guardians of the Galaxy,1
Balder,Hawkeye,5
Balder,Hela,6
Balder,Hercules,3
Balder,Hulk,1
Balder,Iron Man,5
Balder,Jane Foster,8
Balder,King Cobra,1
Balder,Korvac,1
Balder,Lieutenant Marcus Stone,1
Balder,Loki,41
Balder,Malekith,1
Balder,Marauders,1
Balder,May Parker,1
Balder,Mephisto,6
Balder,Mongoose,1
Balder,Namor,1
Balder,New Mutants,1
Balder,Nick Fury,2
Balder,Nightmare,1
Balder,Norman Osborn,1
Balder,Odin,51
Balder,Pepper Potts,2
Balder,Quasar,1
Balder,Red Skull,1
Balder,Rick Jones,3
Balder,Scarlet Witch,2
Balder,Sersi,1
Balder,She-Hulk,1
Balder,Sif,51
Balder,Silver Surfer,2
Balder,Spider-Man,8
Balder,Stellaris,2
Balder,Surtur,5
Balder,Tana Nile,4
Balder,Thanos,2
Balder,Thor,86
Balder,Thor Girl,2
Balder,Titania,1
Balder,Tomorrow Man,6
Balder,Ulik,6
Balder,Vision,2
Balder,Vulture,1
Balder,Warlock,1
Balder,Wasp,1
Balder,Wonder Man,4
Balder,Wrecking Crew,1
Balder,Zeus,1
Banshee,Baron Strucker,2
Banshee,Baron Zemo,1
Banshee,Bastion,3
Banshee,Beak,2
Banshee,Beast,111
Banshee,Bedlam,1
Banshee,Bishop,39
Banshee,Black Bolt,5
Banshee,Black Cat,3
Banshee,Black Knight,6
Banshee,Black Panther,7
Banshee,Black Tom,7
Banshee,Black Widow,4
Banshee,Blackheart,1
Banshee,Blastaar,4
Banshee,Blindfold,1
Banshee,Blink,6
Banshee,Blob,17
Banshee,Bloodstorm,1
Banshee,Boom Boom,19
Banshee,Boomer,46
Banshee,Brood,2
Banshee,Bullseye,5
Banshee,Cable,60
Banshee,Caliban,39
Banshee,Callisto,7
Banshee,Cannonball,101
Banshee,Captain America,14
Banshee,Captain Britain,18
Banshee,Captain Marvel,10
Banshee,Carmella Unuscione,2
Banshee,Carol Danvers,1
Banshee,Cassandra Nova,1
Banshee,Cecilia Reyes,3
Banshee,Ch'od,14
Banshee,Chamber,10
Banshee,Charles Xavier,5
Banshee,ClanDestine,1
Banshee,Clea,2
Banshee,Colleen Wing,1
Banshee,Colossus,116
Banshee,Constrictor,1
Banshee,Corsair,8
Banshee,Count Nefaria,7
Banshee,Crimson Dynamo,1
Banshee,Crule,5
Banshee,Crystal,4
Banshee,Cyber,2
Banshee,Cyclops,139
Banshee,D'Ken Neramani,2
Banshee,Daken,4
Banshee,Dani Moonstar,2
Banshee,Daredevil,7
Banshee,Dark Phoenix,7
Banshee,Darkstar,4
Banshee,Dazzler,20
Banshee,Deadpool,24
Banshee,Death,2
Banshee,Deathbird,3
Banshee,Destiny,4
Banshee,Doctor Doom,12
Banshee,Doctor Strange,7
Banshee,Domino,60
Banshee,Dragon Man,2
Banshee,Dum Dum Dugan,1
Banshee,Dust,2
Banshee,Earthquake,4
Banshee,Elektra,5
Banshee,Emma Frost,32
Banshee,Empath,3
Banshee,Emplate,2
Banshee,Erik the Red,2
Banshee,Excalibur,3
Banshee,Exodus,6
Banshee,Falcon,5
Banshee,Famine,4
Banshee,Fantomex,2
Banshee,Fenris,1
Banshee,Feral,2
Banshee,Firelord,7
Banshee,Firestar,4
Banshee,Forearm,11
Banshee,Forge,49
Banshee,Franklin Richards,2
Banshee,Frenzy,2
Banshee,GW Bridge,1
Banshee,Galactus,1
Banshee,Gambit,68
Banshee,Gateway,2
Banshee,Generation X,5
Banshee,Ghost Rider,4
Banshee,Gideon,9
Banshee,Gladiator,14
Banshee,Goblin Queen,3
Banshee,Hank Pym,4
Banshee,Harpoon,1
Banshee,Havok,55
Banshee,Hawkeye,4
Banshee,Hellfire Club,3
Banshee,Hemingway,1
Banshee,Hepzibah,9
Banshee,Hobgoblin,1
Banshee,Holocaust,6
Banshee,Hope Summers,1
Banshee,Hulk,10
Banshee,Human Torch,9
Banshee,Husk,11
Banshee,Hussar,1
Banshee,Hydra,1
Banshee,Hyperion,3
Banshee,Iceman,81
Banshee,Impossible Man,1
Banshee,Invisible Woman,7
Banshee,Iron Man,15
Banshee,Iron Patriot,2
Banshee,J. Jonah Jameson,1
Banshee,Jamie Braddock,1
Banshee,Jean Grey,30
Banshee,Joseph,1
Banshee,Jubilee,63
Banshee,Juggernaut,28
Banshee,Julian Keller,1
Banshee,Justice,1
Banshee,Karma,1
Banshee,Karnak,1
Banshee,King Bedlam,2
Banshee,Kingpin,3
Banshee,Kitty Pryde,11
Banshee,Lady Deathstrike,7
Banshee,Layla Miller,6
Banshee,Legion,20
Banshee,Lila Cheney,1
Banshee,Lilandra,29
Banshee,Lockheed,2
Banshee,Loki,2
Banshee,Longshot,5
Banshee,Lorna Dane,3
Banshee,M,12
Banshee,Machine Man,1
Banshee,Madelyne Pryor,2
Banshee,Madrox,15
Banshee,Maggott,2
Banshee,Magik,2
Banshee,Magma,6
Banshee,Magneto,46
Banshee,Man-Thing,6
Banshee,Mandarin,1
Banshee,Mandroid,1
Banshee,Manta,2
Banshee,Marauders,1
Banshee,Marrow,5
Banshee,Marvel Boy,1
Banshee,Masque,4
Banshee,Mastermind,10
Banshee,Medusa,2
Banshee,Meggan,3
Banshee,Meltdown,44
Banshee,Mephisto,3
Banshee,Mesmero,3
Banshee,Mimic,9
Banshee,Mister Sinister,10
Banshee,Misty Knight,1
Banshee,Moira MacTaggert,5
Banshee,Mojo,3
Banshee,Moon Knight,2
Banshee,Morlocks,2
Banshee,Morph,2
Banshee,Mother Askani,2
Banshee,Mr. Fantastic,8
Banshee,Multiple Man,6
Banshee,Mystique,16
Banshee,Namorita,2
Banshee,New Mutants,3
Banshee,New X-Men,2
Banshee,Nick Fury,10
Banshee,Night Thrasher,3
Banshee,Nightcrawler,84
Banshee,Nocturne,2
Banshee,Northstar,7
Banshee,Nova,2
Banshee,Omega Red,2
Banshee,Onslaught,4
Banshee,Oracle,5
Banshee,Ozymandias,2
Banshee,Penance,1
Banshee,Phalanx,2
Banshee,Pixie,5
Banshee,Polaris,46
Banshee,Prodigy,2
Banshee,Professor X,54
Banshee,Proteus,4
Banshee,Prowler,1
Banshee,Psylocke,48
Banshee,Puck,1
Banshee,Punisher,1
Banshee,Pyro,6
Banshee,Quasar,1
Banshee,Quicksilver,13
Banshee,Rachel Grey,6
Banshee,Rage,1
Banshee,Randall,1
Banshee,Raza,8
Banshee,Reaper,4
Banshee,Reavers,3
Banshee,Red Skull,1
Banshee,Rictor,64
Banshee,Risque,8
Banshee,Rogue,41
Banshee,S.H.I.E.L.D.,2
Banshee,Sabretooth,13
Banshee,Sage,2
Banshee,Sasquatch,5
Banshee,Sauron,7
Banshee,Scarlet Witch,1
Banshee,Sebastian Shaw,2
Banshee,Selene,2
Banshee,Sentinels,7
Banshee,Shadow King,9
Banshee,Shaman,3
Banshee,Shatterstar,70
Banshee,She-Hulk,1
Banshee,Shinobi Shaw,2
Banshee,Shotgun,1
Banshee,Silhouette,1
Banshee,Silver Surfer,1
Banshee,Skin,6
Banshee,Smasher,2
Banshee,Snowbird,1
Banshee,Spider-Man,9
Banshee,Spiral,4
Banshee,Stacy X,4
Banshee,Starbolt,1
Banshee,Starjammers,2
Banshee,Stepford Cuckoos,3
Banshee,Storm,101
Banshee,Strong Guy,12
Banshee,Stryfe,7
Banshee,Sumo,2
Banshee,Sunfire,6
Banshee,Sunspot,71
Banshee,Super-Adaptoid,2
Banshee,Switch,6
Banshee,Synch,5
Banshee,Talisman,1
Banshee,Tarot,4
Banshee,Taskmaster,3
Banshee,Tempest,1
Banshee,The Professor,1
Banshee,Thing,2
Banshee,Thor,1
Banshee,Thunderbird,8
Banshee,Titania,1
Banshee,Toad,2
Banshee,Typhoid Mary,2
Banshee,Uatu The Watcher,1
Banshee,Union Jack,2
Banshee,Vargas,1
Banshee,Vindicator,3
Banshee,Viper,1
Banshee,War,2
Banshee,Warhawk,1
Banshee,Warpath,94
Banshee,Wasp,1
Banshee,Weapon X,1
Banshee,Wendigo,1
Banshee,Wild Child,2
Banshee,Wildside,7
Banshee,Wolfsbane,5
Banshee,Wolverine,109
Banshee,Wonder Man,1
Banshee,X-Cutioner,1
Banshee,X-Factor,26
Banshee,X-Factor Investigations,2
Banshee,X-Force,91
Banshee,X-Man,2
